example_id,mode,passed,hallucination_flag,judge_score,latency_ms,prompt_tokens,cost_usd
profile_recall_easy_0000,short_context,False,False,0.0,2579.9,1617,0.000646
profile_recall_easy_0000,full_context,False,False,0.0,6552.86,168289,0.05077
profile_recall_easy_0000,memory_enabled,False,False,1.0,3482.07,284,0.000207
troubleshooting_continuity_medium_0001,short_context,False,False,0.8,3826.46,1620,0.001126
troubleshooting_continuity_medium_0001,full_context,True,False,0.8,7990.69,167887,0.050731
troubleshooting_continuity_medium_0001,memory_enabled,False,False,0.7,3579.21,288,0.000302
contradiction_resolution_hard_0002,short_context,False,False,0.0,2078.9,1616,0.000578
contradiction_resolution_hard_0002,full_context,False,False,0.2,5831.21,170528,0.051469
contradiction_resolution_hard_0002,memory_enabled,True,False,1.0,1428.78,286,0.000158
procedure_reuse_easy_0003,short_context,False,False,0.1,9027.15,1656,0.001093
procedure_reuse_easy_0003,full_context,False,False,0.1,4582.15,158040,0.047703
procedure_reuse_easy_0003,memory_enabled,True,False,1.0,3806.04,286,0.000374
mixed_long_context_medium_0004,short_context,False,False,0.9,4129.32,1659,0.000901
mixed_long_context_medium_0004,full_context,False,False,0.8,8084.1,162203,0.049684
mixed_long_context_medium_0004,memory_enabled,False,False,1.0,5209.92,297,0.000414
profile_recall_hard_0005,short_context,False,False,0.1,3177.39,1697,0.000644
profile_recall_hard_0005,full_context,False,False,0.0,4571.65,157561,0.04757
profile_recall_hard_0005,memory_enabled,True,False,1.0,3923.68,287,0.000204
troubleshooting_continuity_easy_0006,short_context,False,False,0.2,3540.31,1660,0.000923
troubleshooting_continuity_easy_0006,full_context,True,False,0.7,5786.44,159084,0.048195
troubleshooting_continuity_easy_0006,memory_enabled,False,False,0.0,2404.65,292,0.000429
contradiction_resolution_medium_0007,short_context,False,False,0.1,1970.38,1616,0.000585
contradiction_resolution_medium_0007,full_context,False,False,0.1,5525.99,170123,0.051119
contradiction_resolution_medium_0007,memory_enabled,True,False,1.0,1838.82,286,0.000157
procedure_reuse_hard_0008,short_context,False,False,0.0,4758.2,1616,0.000768
procedure_reuse_hard_0008,full_context,False,False,0.8,14349.58,158520,0.047831
procedure_reuse_hard_0008,memory_enabled,True,False,1.0,2591.3,289,0.000347
mixed_long_context_easy_0009,short_context,False,False,0.8,2622.79,1659,0.000942
mixed_long_context_easy_0009,full_context,False,False,0.8,6946.64,157003,0.047668
mixed_long_context_easy_0009,memory_enabled,True,False,0.9,4059.28,289,0.000748
profile_recall_medium_0010,short_context,False,False,0.5,2546.46,1697,0.000666
profile_recall_medium_0010,full_context,False,False,0.2,5934.67,161721,0.048717
profile_recall_medium_0010,memory_enabled,False,False,0.5,3575.29,292,0.000179
troubleshooting_continuity_hard_0011,short_context,False,False,0.7,5351.17,1660,0.001051
troubleshooting_continuity_hard_0011,full_context,True,False,0.8,7268.38,160124,0.048394
troubleshooting_continuity_hard_0011,memory_enabled,True,False,0.9,5744.74,294,0.000357
