example_id,mode,passed,hallucination_flag,judge_score,latency_ms,prompt_tokens,cost_usd
profile_recall_easy_0000,short_context,False,False,,1147.11,1677,0.000185
profile_recall_easy_0000,full_context,False,False,0.1,2066.16,168349,0.016888
profile_recall_easy_0000,memory_enabled,True,False,1.0,1192.19,343,6e-05
troubleshooting_continuity_medium_0001,short_context,False,False,,1148.66,1680,0.000208
troubleshooting_continuity_medium_0001,full_context,True,False,,2887.59,167947,0.016877
troubleshooting_continuity_medium_0001,memory_enabled,True,False,,1019.25,347,6.8e-05
contradiction_resolution_hard_0002,short_context,False,False,,906.61,1676,0.000187
contradiction_resolution_hard_0002,full_context,False,True,0,3040.56,170588,0.01712
contradiction_resolution_hard_0002,memory_enabled,True,False,,675.6,345,4.6e-05
procedure_reuse_easy_0003,short_context,False,False,,745.97,1716,0.000187
procedure_reuse_easy_0003,full_context,False,False,,2051.94,158100,0.015865
procedure_reuse_easy_0003,memory_enabled,False,False,,950.98,345,5.9e-05
mixed_long_context_medium_0004,short_context,False,False,,1020.08,1719,0.000192
mixed_long_context_medium_0004,full_context,False,False,,2869.23,162263,0.016304
mixed_long_context_medium_0004,memory_enabled,False,False,,1281.0,356,9.4e-05
profile_recall_hard_0005,short_context,False,False,,949.34,1757,0.000192
profile_recall_hard_0005,full_context,False,False,,2150.48,157621,0.01578
profile_recall_hard_0005,memory_enabled,True,False,,1120.53,346,6.7e-05
troubleshooting_continuity_easy_0006,short_context,False,False,,933.31,1720,0.000194
troubleshooting_continuity_easy_0006,full_context,True,False,1.0,2258.35,159144,0.01599
troubleshooting_continuity_easy_0006,memory_enabled,True,False,,1140.8,351,6.6e-05
contradiction_resolution_medium_0007,short_context,True,False,,834.72,1676,0.000189
contradiction_resolution_medium_0007,full_context,False,False,,2352.74,170183,0.017081
contradiction_resolution_medium_0007,memory_enabled,True,False,1.0,875.5,345,4.6e-05
procedure_reuse_hard_0008,short_context,False,False,,1152.37,1676,0.000192
procedure_reuse_hard_0008,full_context,False,False,,2353.44,158580,0.015928
procedure_reuse_hard_0008,memory_enabled,True,False,,1002.96,348,7e-05
mixed_long_context_easy_0009,short_context,False,False,,1153.54,1719,0.000209
mixed_long_context_easy_0009,full_context,False,False,,2436.06,157063,0.015766
mixed_long_context_easy_0009,memory_enabled,False,False,,851.8,348,7.8e-05
profile_recall_medium_0010,short_context,False,False,0,924.76,1757,0.000192
profile_recall_medium_0010,full_context,False,False,,2789.18,161781,0.016206
profile_recall_medium_0010,memory_enabled,True,False,,940.2,351,6.2e-05
troubleshooting_continuity_hard_0011,short_context,False,False,,816.03,1720,0.000199
troubleshooting_continuity_hard_0011,full_context,True,False,1.0,2688.22,160184,0.01609
troubleshooting_continuity_hard_0011,memory_enabled,True,False,1.0,1237.93,353,8.3e-05
contradiction_resolution_easy_0012,short_context,False,False,,866.91,1756,0.000198
contradiction_resolution_easy_0012,full_context,False,False,,2217.32,163860,0.016455
contradiction_resolution_easy_0012,memory_enabled,True,False,,842.06,353,4.7e-05
procedure_reuse_medium_0013,short_context,False,False,,801.9,1716,0.000188
procedure_reuse_medium_0013,full_context,False,False,0.1,2030.29,159140,0.015992
procedure_reuse_medium_0013,memory_enabled,True,False,1.0,1020.71,350,7.1e-05
mixed_long_context_hard_0014,short_context,False,False,,716.28,1719,0.000196
mixed_long_context_hard_0014,full_context,False,False,,2222.55,159023,0.015995
mixed_long_context_hard_0014,memory_enabled,False,False,0.5,1162.31,352,9.4e-05
profile_recall_easy_0015,short_context,False,False,0.1,1910.55,1677,0.000183
profile_recall_easy_0015,full_context,False,False,0.1,2825.21,169469,0.017028
profile_recall_easy_0015,memory_enabled,True,False,,1834.92,346,6.3e-05
troubleshooting_continuity_medium_0016,short_context,False,False,0.33,1149.93,1760,0.000209
troubleshooting_continuity_medium_0016,full_context,True,False,,2391.7,159704,0.016055
troubleshooting_continuity_medium_0016,memory_enabled,True,False,,1038.28,356,7e-05
contradiction_resolution_hard_0017,short_context,False,False,0.0,774.69,1676,0.000186
contradiction_resolution_hard_0017,full_context,True,False,0,2645.89,158580,0.015907
contradiction_resolution_hard_0017,memory_enabled,True,False,,787.01,344,4.6e-05
procedure_reuse_easy_0018,short_context,False,False,0.1,1583.41,1756,0.000198
procedure_reuse_easy_0018,full_context,False,False,0.1,2239.8,157620,0.015838
procedure_reuse_easy_0018,memory_enabled,False,False,,815.5,345,5.4e-05
mixed_long_context_medium_0019,short_context,False,False,0.2,1351.43,1679,0.000194
mixed_long_context_medium_0019,full_context,False,False,,2172.94,160663,0.016124
mixed_long_context_medium_0019,memory_enabled,False,False,,1116.03,352,9e-05
profile_recall_hard_0020,short_context,False,True,0.0,851.52,1757,0.000195
profile_recall_hard_0020,full_context,False,True,,2037.08,159701,0.016001
profile_recall_hard_0020,memory_enabled,True,False,1.0,1015.71,350,7.3e-05
troubleshooting_continuity_easy_0021,short_context,False,False,,1048.05,1720,0.000218
troubleshooting_continuity_easy_0021,full_context,True,False,,2862.98,159144,0.015981
troubleshooting_continuity_easy_0021,memory_enabled,False,False,0.33,1013.28,351,6.5e-05
contradiction_resolution_medium_0022,short_context,False,False,,845.52,1716,0.000196
contradiction_resolution_medium_0022,full_context,False,False,,2356.11,161220,0.016169
contradiction_resolution_medium_0022,memory_enabled,True,False,1.0,808.18,349,4.7e-05
procedure_reuse_hard_0023,short_context,False,False,0.0,815.22,1716,0.00019
procedure_reuse_hard_0023,full_context,False,False,,2746.6,158100,0.015978
procedure_reuse_hard_0023,memory_enabled,True,False,,1127.06,347,7.7e-05
mixed_long_context_easy_0024,short_context,False,False,0.2,1041.99,1679,0.00019
mixed_long_context_easy_0024,full_context,False,False,,2963.33,167946,0.016876
mixed_long_context_easy_0024,memory_enabled,False,False,,1370.95,349,9.5e-05
profile_recall_medium_0025,short_context,False,False,0.1,864.48,1677,0.000183
profile_recall_medium_0025,full_context,False,False,0.0,2150.88,158581,0.015923
profile_recall_medium_0025,memory_enabled,True,False,,829.78,345,5.5e-05
troubleshooting_continuity_hard_0026,short_context,False,False,,964.28,1760,0.000202
troubleshooting_continuity_hard_0026,full_context,True,False,1.0,2222.74,163864,0.016426
troubleshooting_continuity_hard_0026,memory_enabled,True,False,1.0,1425.62,359,9.9e-05
contradiction_resolution_easy_0027,short_context,False,False,,1352.87,1676,0.000188
contradiction_resolution_easy_0027,full_context,False,False,,1887.14,166108,0.016634
